iter	Passed	Remaining
0	36	18368
1	94	23653
2	115	19179
3	157	19506
4	200	19876
5	253	20831
6	295	20818
7	313	19259
8	352	19239
9	398	19528
10	441	19625
11	485	19739
12	529	19826
13	572	19885
14	615	19903
15	658	19934
16	704	20005
17	750	20107
18	794	20104
19	838	20112
20	901	20570
21	945	20532
22	987	20473
23	1028	20398
24	1071	20363
25	1115	20330
26	1149	20141
27	1190	20064
28	1233	20030
29	1275	19985
30	1321	19990
31	1364	19957
32	1409	19944
33	1453	19924
34	1497	19892
35	1541	19863
36	1585	19838
37	1629	19816
38	1673	19780
39	1717	19747
40	1758	19691
41	1800	19629
42	1844	19598
43	1887	19560
44	1929	19513
45	1967	19416
46	2011	19385
47	2053	19338
48	2096	19293
49	2138	19243
50	2179	19191
51	2223	19152
52	2264	19102
53	2306	19053
54	2348	19000
55	2397	19006
56	2447	19024
57	2490	18980
58	2532	18931
59	2576	18893
60	2618	18845
61	2661	18800
62	2702	18746
63	2745	18704
64	2787	18657
65	2830	18613
66	2873	18569
67	2918	18540
68	2965	18521
69	3013	18512
70	3060	18491
71	3101	18436
72	3144	18393
73	3185	18337
74	3228	18293
75	3272	18255
76	3319	18235
77	3365	18208
78	3413	18192
79	3460	18166
80	3504	18130
81	3550	18100
82	3595	18062
83	3637	18015
84	3684	17989
85	3728	17950
86	3772	17909
87	3816	17867
88	3861	17834
89	3907	17800
90	3953	17766
91	3998	17734
92	4041	17686
93	4084	17641
94	4128	17599
95	4173	17564
96	4217	17523
97	4261	17481
98	4303	17432
99	4345	17380
100	4393	17357
101	4439	17322
102	4486	17293
103	4532	17258
104	4582	17237
105	4659	17320
106	4703	17276
107	4748	17234
108	4794	17197
109	4838	17153
110	4882	17109
111	4940	17115
112	4985	17073
113	5031	17036
114	5075	16992
115	5126	16969
116	5155	16877
117	5186	16789
118	5240	16778
119	5282	16728
120	5327	16686
121	5372	16644
122	5419	16610
123	5469	16584
124	5515	16545
125	5559	16503
126	5604	16459
127	5652	16428
128	5699	16390
129	5743	16347
130	5786	16298
131	5829	16250
132	5875	16211
133	5896	16105
134	5939	16058
135	5981	16008
136	6028	15973
137	6071	15926
138	6113	15876
139	6157	15832
140	6199	15783
141	6241	15735
142	6284	15690
143	6328	15646
144	6372	15601
145	6415	15556
146	6458	15509
147	6504	15469
148	6548	15426
149	6593	15384
150	6636	15338
151	6685	15305
152	6729	15262
153	6774	15220
154	6840	15224
155	6882	15177
156	6924	15129
157	6968	15083
158	7011	15036
159	7055	14993
160	7108	14967
161	7150	14919
162	7192	14870
163	7237	14828
164	7279	14779
165	7322	14734
166	7365	14687
167	7410	14644
168	7454	14599
169	7500	14560
170	7544	14515
171	7587	14469
172	7631	14424
173	7675	14381
174	7719	14336
175	7762	14290
176	7804	14242
177	7849	14200
178	7893	14155
179	7936	14109
180	7979	14063
181	8024	14020
182	8067	13975
183	8109	13927
184	8154	13885
185	8197	13839
186	8243	13798
187	8287	13754
188	8335	13715
189	8391	13691
190	8437	13650
191	8482	13607
192	8523	13558
193	8567	13514
194	8611	13468
195	8655	13425
196	8698	13378
197	8742	13333
198	8785	13289
199	8827	13241
200	8869	13194
201	8913	13149
202	8957	13105
203	9012	13076
204	9082	13070
205	9128	13028
206	9176	12988
207	9219	12942
208	9276	12915
209	9318	12869
210	9364	12826
211	9407	12780
212	9449	12732
213	9494	12688
214	9537	12642
215	9583	12599
216	9628	12557
217	9675	12515
218	9719	12470
219	9764	12427
220	9809	12384
221	9855	12341
222	9898	12295
223	9944	12252
224	9989	12209
225	10040	12173
226	10085	12129
227	10130	12085
228	10174	12040
229	10220	11997
230	10265	11954
231	10312	11912
232	10357	11869
233	10401	11824
234	10446	11780
235	10495	11741
236	10542	11698
237	10587	11655
238	10633	11612
239	10679	11569
240	10727	11528
241	10772	11484
242	10817	11440
243	10861	11395
244	10906	11351
245	10957	11314
246	11004	11271
247	11049	11228
248	11095	11184
249	11140	11140
250	11187	11098
251	11261	11082
252	11309	11041
253	11356	10998
254	11400	10953
255	11442	10906
256	11487	10861
257	11532	10817
258	11577	10772
259	11621	10727
260	11665	10682
261	11710	10637
262	11752	10591
263	11797	10546
264	11839	10499
265	11886	10456
266	11931	10412
267	11978	10369
268	12025	10326
269	12086	10295
270	12129	10249
271	12173	10204
272	12216	10158
273	12262	10114
274	12303	10066
275	12349	10023
276	12394	9978
277	12439	9933
278	12484	9889
279	12530	9845
280	12573	9799
281	12618	9754
282	12662	9709
283	12707	9664
284	12752	9620
285	12796	9575
286	12842	9530
287	12886	9485
288	12931	9441
289	12975	9396
290	13020	9351
291	13075	9314
292	13118	9268
293	13161	9222
294	13206	9177
295	13250	9132
296	13295	9087
297	13339	9042
298	13385	8998
299	13436	8957
300	13490	8919
301	13537	8875
302	13581	8830
303	13626	8785
304	13672	8741
305	13716	8696
306	13760	8650
307	13803	8604
308	13845	8558
309	13889	8512
310	13932	8466
311	13975	8421
312	14025	8379
313	14070	8334
314	14112	8288
315	14157	8243
316	14202	8198
317	14256	8159
318	14300	8114
319	14344	8068
320	14389	8023
321	14435	7980
322	14482	7936
323	14527	7891
324	14572	7846
325	14617	7801
326	14663	7757
327	14708	7712
328	14752	7667
329	14796	7622
330	14840	7576
331	14884	7531
332	14929	7487
333	14976	7443
334	15019	7397
335	15064	7352
